CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,Block_Location,BLKADDR,City,State
22002649,DISTURBANCE,01/18/2022 12:00:00 AM,1899-12-31T15:32:00.000,DISORDERLY CONDUCT,2,03/18/2022 12:00:00 AM,"1800 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.871246, -122.274992)",1800 BLOCK UNIVERSITY AVE,Berkeley,CA
22090026,VANDALISM,12/30/2021 12:00:00 AM,1899-12-31T10:10:00.000,VANDALISM,4,03/18/2022 12:00:00 AM,"2800 BLOCK REGENT ST
Berkeley, CA
(37.859589, -122.257019)",2800 BLOCK REGENT ST,Berkeley,CA
22000765,DISTURBANCE - NOISE,01/06/2022 12:00:00 AM,1899-12-31T02:50:00.000,NOISE VIOLATION,4,03/18/2022 12:00:00 AM,"2300 BLOCK HASTE ST
Berkeley, CA
(37.865443, -122.263189)",2300 BLOCK HASTE ST,Berkeley,CA
21091395,THEFT MISD. (UNDER $950),09/26/2021 12:00:00 AM,1899-12-31T21:55:00.000,LARCENY,0,03/18/2022 12:00:00 AM,"2100 BLOCK SHATTUCK AVE
Berkeley, CA
(37.871167, -122.268285)",2100 BLOCK SHATTUCK AVE,Berkeley,CA
21047106,GUN/WEAPON,09/20/2021 12:00:00 AM,1899-12-31T17:00:00.000,WEAPONS OFFENSE,1,03/18/2022 12:00:00 AM,"1414 UNIVERSITY AVE
Berkeley, CA
(37.870099, -122.283914)",1414 UNIVERSITY AVE,Berkeley,CA
22012061,VANDALISM,03/15/2022 12:00:00 AM,1899-12-31T17:17:00.000,VANDALISM,2,03/18/2022 12:00:00 AM,"2500 BLOCK TELEGRAPH AVE
Berkeley, CA
(37.864759, -122.258461)",2500 BLOCK TELEGRAPH AVE,Berkeley,CA
21053076,FRAUD/FORGERY,11/15/2021 12:00:00 AM,1899-12-31T14:02:00.000,FRAUD,1,03/18/2022 12:00:00 AM,"2000 BLOCK PARKER ST
Berkeley, CA
(37.861843, -122.269644)",2000 BLOCK PARKER ST,Berkeley,CA
21057102,ASSAULT/BATTERY FEL.,12/09/2021 12:00:00 AM,1899-12-31T18:09:00.000,ASSAULT,4,03/18/2022 12:00:00 AM,"2900 BLOCK ADELINE ST
Berkeley, CA
(37.856121, -122.26876)",2900 BLOCK ADELINE ST,Berkeley,CA
21055379,VEHICLE STOLEN,11/30/2021 12:00:00 AM,1899-12-31T08:44:00.000,MOTOR VEHICLE THEFT,2,03/18/2022 12:00:00 AM,"2200 BLOCK SHATTUCK AVE
Berkeley, CA
(37.869363, -122.268028)",2200 BLOCK SHATTUCK AVE,Berkeley,CA
21051356,THEFT FELONY (OVER $950),09/20/2021 12:00:00 AM,1899-12-31T00:00:00.000,LARCENY,1,03/18/2022 12:00:00 AM,"1250 HASKELL ST
Berkeley, CA
(37.85101, -122.283717)",1250 HASKELL ST,Berkeley,CA
22090252,BURGLARY AUTO,02/23/2022 12:00:00 AM,1899-12-31T18:45:00.000,BURGLARY - VEHICLE,3,03/18/2022 12:00:00 AM,"2600 BLOCK RUSSELL ST
Berkeley, CA
(37.858165, -122.255687)",2600 BLOCK RUSSELL ST,Berkeley,CA
21091550,BURGLARY AUTO,12/06/2021 12:00:00 AM,1899-12-31T18:30:00.000,BURGLARY - VEHICLE,1,03/18/2022 12:00:00 AM,"1300 BLOCK SAN PABLO AVE
Berkeley, CA
(37.880229, -122.295798)",1300 BLOCK SAN PABLO AVE,Berkeley,CA
22009218,DISTURBANCE,02/26/2022 12:00:00 AM,1899-12-31T19:47:00.000,DISORDERLY CONDUCT,6,03/18/2022 12:00:00 AM,"2100 BLOCK MARTIN LUTHER KING JR WAY
Berkeley, CA
(37.869689, -122.272805)",2100 BLOCK MARTIN LUTHER KING JR WAY,Berkeley,CA
21057918,THEFT MISD. (UNDER $950),12/14/2021 12:00:00 AM,1899-12-31T20:25:00.000,LARCENY,2,03/18/2022 12:00:00 AM,"1800 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.871246, -122.274992)",1800 BLOCK UNIVERSITY AVE,Berkeley,CA
22007724,THEFT FELONY (OVER $950),02/17/2022 12:00:00 AM,1899-12-31T13:26:00.000,LARCENY,4,03/18/2022 12:00:00 AM,"1400 BLOCK SHATTUCK AVE
Berkeley, CA
(37.881957, -122.269551)",1400 BLOCK SHATTUCK AVE,Berkeley,CA
21091241,THEFT MISD. (UNDER $950),10/13/2021 12:00:00 AM,1899-12-31T11:20:00.000,LARCENY,3,03/18/2022 12:00:00 AM,"1400 BLOCK FAIRVIEW ST
Berkeley, CA
(37.849315, -122.279798)",1400 BLOCK FAIRVIEW ST,Berkeley,CA
21047013,THEFT FROM AUTO,10/11/2021 12:00:00 AM,1899-12-31T19:25:00.000,LARCENY - FROM VEHICLE,1,03/18/2022 12:00:00 AM,"2200 BLOCK SHATTUCK AVE
Berkeley, CA
(37.869363, -122.268028)",2200 BLOCK SHATTUCK AVE,Berkeley,CA
21059215,BURGLARY AUTO,12/22/2021 12:00:00 AM,1899-12-31T19:00:00.000,BURGLARY - VEHICLE,3,03/18/2022 12:00:00 AM,"2000 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.871826, -122.270532)",2000 BLOCK UNIVERSITY AVE,Berkeley,CA
22005306,NARCOTICS,02/03/2022 12:00:00 AM,1899-12-31T09:57:00.000,DRUG VIOLATION,4,03/18/2022 12:00:00 AM,"2500 BLOCK HASTE ST
Berkeley, CA
(37.866025, -122.258623)",2500 BLOCK HASTE ST,Berkeley,CA
22001979,DISTURBANCE,01/13/2022 12:00:00 AM,1899-12-31T17:00:00.000,DISORDERLY CONDUCT,4,03/18/2022 12:00:00 AM,"1400 BLOCK ALLSTON WAY
Berkeley, CA
(37.867117, -122.283641)",1400 BLOCK ALLSTON WAY,Berkeley,CA
22002681,BURGLARY AUTO,01/18/2022 12:00:00 AM,1899-12-31T19:48:00.000,BURGLARY - VEHICLE,2,03/18/2022 12:00:00 AM,"2300 BLOCK SHATTUCK AVE
Berkeley, CA
(37.867157, -122.2678)",2300 BLOCK SHATTUCK AVE,Berkeley,CA
22001897,DISTURBANCE,01/13/2022 12:00:00 AM,1899-12-31T11:42:00.000,DISORDERLY CONDUCT,4,03/18/2022 12:00:00 AM,"2800 BLOCK ELLSWORTH ST
Berkeley, CA
(37.859195, -122.261915)",2800 BLOCK ELLSWORTH ST,Berkeley,CA
21057307,ALCOHOL OFFENSE,12/10/2021 12:00:00 AM,1899-12-31T20:51:00.000,LIQUOR LAW VIOLATION,5,03/18/2022 12:00:00 AM,"900 BLOCK FRESNO AVE
Berkeley, CA
(37.891408, -122.278186)",900 BLOCK FRESNO AVE,Berkeley,CA
21049800,ASSAULT/BATTERY MISD.,10/28/2021 12:00:00 AM,1899-12-31T07:25:00.000,ASSAULT,4,03/18/2022 12:00:00 AM,"1300 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.869764, -122.28655)",1300 BLOCK UNIVERSITY AVE,Berkeley,CA
21046798,ROBBERY,10/10/2021 12:00:00 AM,1899-12-31T13:04:00.000,ROBBERY,0,03/18/2022 12:00:00 AM,"1600 BLOCK 62ND ST
Berkeley, CA
(37.846404, -122.275263)",1600 BLOCK 62ND ST,Berkeley,CA
21052356,THEFT FELONY (OVER $950),11/10/2021 12:00:00 AM,1899-12-31T08:00:00.000,LARCENY,3,03/18/2022 12:00:00 AM,"2000 BLOCK FRANCISCO ST
Berkeley, CA
(37.875391, -122.271141)",2000 BLOCK FRANCISCO ST,Berkeley,CA
22003308,ASSAULT/BATTERY FEL.,01/22/2022 12:00:00 AM,1899-12-31T14:10:00.000,ASSAULT,6,03/18/2022 12:00:00 AM,"1000 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.868641, -122.29415)",1000 BLOCK UNIVERSITY AVE,Berkeley,CA
21050506,THEFT MISD. (UNDER $950),10/31/2021 12:00:00 AM,1899-12-31T18:00:00.000,LARCENY,0,03/18/2022 12:00:00 AM,"2300 BLOCK SHATTUCK AVE
Berkeley, CA
(37.867157, -122.2678)",2300 BLOCK SHATTUCK AVE,Berkeley,CA
21091384,BURGLARY AUTO,11/06/2021 12:00:00 AM,1899-12-31T11:40:00.000,BURGLARY - VEHICLE,6,03/18/2022 12:00:00 AM,"2400 BLOCK ATHERTON ST
Berkeley, CA
(37.866174, -122.26454)",2400 BLOCK ATHERTON ST,Berkeley,CA
21059033,BURGLARY RESIDENTIAL,12/21/2021 12:00:00 AM,1899-12-31T18:10:00.000,BURGLARY - RESIDENTIAL,2,03/18/2022 12:00:00 AM,"1100 BLOCK DERBY ST
Berkeley, CA
(37.857651, -122.288388)",1100 BLOCK DERBY ST,Berkeley,CA
22006420,BURGLARY COMMERCIAL,02/09/2022 12:00:00 AM,1899-12-31T22:45:00.000,BURGLARY - COMMERCIAL,3,03/18/2022 12:00:00 AM,"3000 BLOCK ASHBY AVE
Berkeley, CA
(37.858047, -122.245306)",3000 BLOCK ASHBY AVE,Berkeley,CA
22000944,ARSON,01/07/2022 12:00:00 AM,1899-12-31T09:31:00.000,ARSON,5,03/18/2022 12:00:00 AM,"1980 ALLSTON WAY
Berkeley, CA
(37.869011, -122.270835)",1980 ALLSTON WAY,Berkeley,CA
21045201,THEFT MISD. (UNDER $950),10/01/2021 12:00:00 AM,1899-12-31T14:03:00.000,LARCENY,5,03/18/2022 12:00:00 AM,"2500 BLOCK TELEGRAPH AVE
Berkeley, CA
(37.864759, -122.258461)",2500 BLOCK TELEGRAPH AVE,Berkeley,CA
21048807,THEFT MISD. (UNDER $950),10/22/2021 12:00:00 AM,1899-12-31T14:20:00.000,LARCENY,5,03/18/2022 12:00:00 AM,"2300 BLOCK SHATTUCK AVE
Berkeley, CA
(37.867157, -122.2678)",2300 BLOCK SHATTUCK AVE,Berkeley,CA
21055762,THEFT FROM AUTO,11/30/2021 12:00:00 AM,1899-12-31T17:00:00.000,LARCENY - FROM VEHICLE,2,03/18/2022 12:00:00 AM,"1300 BLOCK GRIZZLY PEAK BLVD
Berkeley, CA
(37.8871, -122.251321)",1300 BLOCK GRIZZLY PEAK BLVD,Berkeley,CA
22000932,VEHICLE STOLEN,01/06/2022 12:00:00 AM,1899-12-31T20:00:00.000,MOTOR VEHICLE THEFT,4,03/18/2022 12:00:00 AM,"1300 HEARST AVE
Berkeley, CA
(37.871317, -122.286575)",1300 HEARST AVE,Berkeley,CA
22010377,THEFT FELONY (OVER $950),03/05/2022 12:00:00 AM,1899-12-31T15:09:00.000,LARCENY,6,03/18/2022 12:00:00 AM,"1824 UNIVERSITY AVE
Berkeley, CA
(37.871384, -122.273899)",1824 UNIVERSITY AVE,Berkeley,CA
21059616,DISTURBANCE,12/26/2021 12:00:00 AM,1899-12-31T12:54:00.000,DISORDERLY CONDUCT,0,03/18/2022 12:00:00 AM,"1200 BLOCK HASKELL ST
Berkeley, CA
(37.850541, -122.286037)",1200 BLOCK HASKELL ST,Berkeley,CA
21057998,DISTURBANCE,12/14/2021 12:00:00 AM,1899-12-31T15:00:00.000,DISORDERLY CONDUCT,2,03/18/2022 12:00:00 AM,"2900 BLOCK ELLIS ST
Berkeley, CA
(37.85583, -122.27339)",2900 BLOCK ELLIS ST,Berkeley,CA
21053313,THEFT FELONY (OVER $950),11/17/2021 12:00:00 AM,1899-12-31T07:00:00.000,LARCENY,3,03/18/2022 12:00:00 AM,"2500 BLOCK MCGEE AVE
Berkeley, CA
(37.862777, -122.276571)",2500 BLOCK MCGEE AVE,Berkeley,CA
22006460,THEFT MISD. (UNDER $950),02/07/2022 12:00:00 AM,1899-12-31T12:00:00.000,LARCENY,1,03/18/2022 12:00:00 AM,"2300 BLOCK SHATTUCK AVE
Berkeley, CA
(37.867157, -122.2678)",2300 BLOCK SHATTUCK AVE,Berkeley,CA
21060171,VEHICLE STOLEN,12/30/2021 12:00:00 AM,1899-12-31T12:40:00.000,MOTOR VEHICLE THEFT,4,03/18/2022 12:00:00 AM,"2456 HILGARD AVE
Berkeley, CA
(37.878524, -122.261715)",2456 HILGARD AVE,Berkeley,CA
22001643,ASSAULT/BATTERY FEL.,01/11/2022 12:00:00 AM,1899-12-31T20:03:00.000,ASSAULT,2,03/18/2022 12:00:00 AM,"2500 BLOCK DURANT AVE
Berkeley, CA
(37.867852, -122.258699)",2500 BLOCK DURANT AVE,Berkeley,CA
21054198,VEHICLE STOLEN,11/22/2021 12:00:00 AM,1899-12-31T00:49:00.000,MOTOR VEHICLE THEFT,1,03/18/2022 12:00:00 AM,"581 WOODMONT AVE
Berkeley, CA
(37.902299, -122.265707)",581 WOODMONT AVE,Berkeley,CA
21053365,ROBBERY,11/17/2021 12:00:00 AM,1899-12-31T15:20:00.000,ROBBERY,3,03/18/2022 12:00:00 AM,"2000 BLOCK SHATTUCK AVE
Berkeley, CA
(37.871901, -122.268389)",2000 BLOCK SHATTUCK AVE,Berkeley,CA
22001558,THEFT MISD. (UNDER $950),01/10/2022 12:00:00 AM,1899-12-31T08:00:00.000,LARCENY,1,03/18/2022 12:00:00 AM,"2300 BLOCK SHATTUCK AVE
Berkeley, CA
(37.867157, -122.2678)",2300 BLOCK SHATTUCK AVE,Berkeley,CA
